,a,e,i,o,u,w,y,p,b,t,d,k,g,m,n,f,v,s,z,l,r,c,h,j,q,x
a,79794787,19403941063,8072199471,1620913259,3844138094,10865206430,444542870,9123652775,4122472992,14941000711,4259590348,478095427,4175274057,15938689768,9790855551,4624241031,3946966167,6147356936,702199296,14874551789,19332539912,15174413181,26103411208,729206855,4298294,834649781
e,349540062,10647199443,10845731320,1089254517,4158448570,10176141608,2612941418,13477683504,16249257887,33973261529,21565300071,6027536039,10861045622,22360109325,19504235770,6670566518,23270129573,26282488562,1402290616,23382173640,52285662239,18367773425,86697336727,1463052212,572443,614533122
i,8922759715,5169898489,642384029,2474275212,2852182384,10557401491,812619095,3470838749,3005679357,37856196209,13899990598,2759841743,4275639800,8957825538,9564648232,8024355222,7600241898,15509759748,341671190,17604626629,20516398905,7936922442,21520845924,77899882,8954617,1111463633
o,130442323,2044268477,23542263265,5928601045,300484143,6252724050,4226720021,10189505383,5509918152,29360205581,5307591560,171324962,3725558729,9498813191,13099447521,13753006196,2004982879,11214705934,202480511,10908830081,20491179118,22384167777,13672603513,1516687319,1324363,76097183
u,3356322923,878402090,490874936,24531132241,22006895,19601657,37436235,2947681332,5214802738,7187510085,4186093215,85313841,2418410978,3231856188,2217508482,2706168901,62384927,8774129154,60692846,3811884104,3618438291,4585165906,2077887429,1655210582,4160167957,134528161
w,1689436638,3293529190,17611969,9318366591,7824504,7377619,95070267,34037460,8319869,2322619238,230152384,61416538,18260884,16465357,163456000,6451511,742188,663415953,6279286,356374125,359714599,3909223,134615178,1165914,163292,6292525
y,6128842727,4053144855,6247588,1020190223,128782521,68368953,1993017,331698156,4975814759,6408447994,1421751251,167761726,731420025,1753447198,2760941827,256535008,138085211,1602829285,66473188,11983948242,6985436186,1176324279,1412343465,1120221,0,72645837
p,5719570727,4837800987,2515455253,6313536754,3835093459,20982546,702499946,3850125519,15427250,121089391,48855638,20492678,11612944,6743935008,170186564,6262895,5510046,5392724233,1361846,536595562,1173542093,37067423,16696129,6129447,272180,1885334638
b,6479202253,763383542,2780268452,2725791138,2497666762,29929113,121220723,36901495,308276690,71746167,78190243,25406204,13944852,2544901434,122258836,7730842,2496014,223212317,5858211,188643782,753194669,17751935,123778334,2126115,1083443,2164724
t,41920838452,11634161334,31672532308,12465822481,11423899818,184446342,470429861,2982699529,482272940,4812693687,81648332,29132180,434302509,38538709,29359771944,2302659749,6181932,29704461829,6627349,3486149365,10198055461,12997849406,3670802795,2917850,1385505,1315669490
d,10375130449,32937140633,8332214014,5511014957,2577213760,99767462,192245315,33798376,69761165,36539510,1205446875,18894758,89087728,18929019,38129777631,13966832,8430332,148275222,1415016,7122648226,5338083783,62905910,80544316,2615147,519921,168263
k,2952167845,464449289,1209994695,1813376076,129819900,30095733,9292584,23099462,2639491,13081991,9494027,12782664,7338894,3956883,1455100124,3293208,337545,1112771273,906537,555883002,2736041446,3316660134,6595610,1740133,0,281255
g,5772552144,3370515965,7189051323,2651165734,3606562400,2751783,73102462,13354952,7203255,55522877,874188188,72267691,697999944,34537023,26871805511,14424524,2960268,69588685,4726653,171657388,2813274913,24975673,7789748,1034900,0,542548
m,8032259916,10536054813,8959759181,15402602484,3901923211,30732232,667551857,449910017,88228719,746621025,512522701,50449220,277966576,2708822249,782441941,19340776,3178223,1838392669,4713608,649112313,4938158020,75144874,359316447,3659540,989868,6569222
n,55974567611,41004903554,68595215308,49570981965,11121118166,2227183930,372595315,33536129,59062122,282266629,213431654,1450401608,1850801359,247850339,2051719074,11823066,4317772,258702825,4300522,165509578,4521640992,24249641,726288117,4150888,1859810,1613611
