gez ges zeg seg
mad mat dam tam
diz dis zid sid
dov dof vod fod
beg bek geb keb
zub zup bus pus
far fal rav lav
gog gok gog kog
nun num nun mun
tag tak gat kat
giv gif vig fig
lib lip bir pir
kub kup buk puk
fob fop bov pov
bug buk gub kub
hav haf vay fay
han ham nay may
pen pem nep mep
zon zom nos mos
ton tom not mot
mud mut dum tum
nan nam nan man
zud zut dus tus
nod not don ton
mon mom nom mom
peb pep bep pep
kez kes zek sek
fed fet dev tev
zug zuk gus kus
nug nuk gun kun
zab zap bas pas
koz kos zok sok
for fol rov lov
deb dep bed ped
ger gel reg leg
tev tef vet fet
hov hof voy foy
foz fos zov sov
zar zal ras las
zeg zek ges kes
zer zel res les
nev nef ven fen
niz nis zin sin
tun tum nut mut
pan pam nap map
pon pom nop mop
tad tat dat tat
teg tek get ket
zev zef ves fes
nib nip bin pin
nob nop bon pon
zed zet des tes
laz las zar sar
din dim nid mid
miv mif vim fim
bag bak gab kab
lag lak gar kar
fud fut duv tuv
tog tok got kot
fev fef vev fev
har hal ray lay
kav kaf vak fak
faz fas zav sav
men mem nem mem
gan gam nag mag
liz lis zir sir
ken kem nek mek
daz das zad sad
tig tik git kit
zov zof vos fos
bed bet deb teb
mez mes zem sem
naz nas zan san
nir nil rin lin
buz bus zub sub
leg lek ger ker
had hat day tay
tan tam nat mat
kar kal rak lak
baz bas zab sab
gag gak gag kag
niv nif vin fin
nid nit din tin
kud kut duk tuk
dav daf vad fad
deg dek ged ked
fab fap bav pav
fin fim niv miv
did dit did tid
dun dum nud mud
zig zik gis kis
hor hol roy loy
mun mum num mum
biz bis zib sib
zan zam nas mas
min mim nim mim
nuz nus zun sun
miz mis zim sim
dub dup bud pud
nav naf van fan
fer fel rev lev
gid git dig tig
mab map bam pam
ten tem net met
fib fip biv piv
maz mas zam sam
ked ket dek tek
zun zum nus mus
nov nof von fon
loz los zor sor
tod tot dot tot
den dem ned med
peg pek gep kep
tab tap bat pat
giz gis zig sig
tiz tis zit sit
zad zat das tas
lev lef ver fer
fiz fis ziv siv
zod zot dos tos
mor mol rom lom
zoz zos zos sos
zor zol ros los
gir gil rig lig
don dom nod mod
mid mit dim tim
pad pat dap tap
kir kil rik lik
fig fik giv kiv
meb mep bem pem
mig mik gim kim
ged get deg teg
nab nap ban pan
nar nal ran lan
kon kom nok mok
duz dus zud sud
neb nep ben pen
guz gus zug sug
puz pus zup sup
doz dos zod sod
man mam nam mam
gud gut dug tug
tob top bot pot
goz gos zog sog
tug tuk gut kut
zaz zas zas sas
dor dol rod lod
bev bef veb feb
pag pak gap kap
mog mok gom kom
haz has zay say
boz bos zob sob
ner nel ren len
nad nat dan tan
lov lof vor for
med met dem tem
zob zop bos pos
kiv kif vik fik
gev gef veg feg
tub tup but put
hod hot doy toy
pir pil rip lip
dug duk gud kud
dad dat dad tad
nag nak gan kan
non nom non mon
lug luk gur kur
neg nek gen ken
zez zes zes ses
geb gep beg peg
tar tal rat lat
ted tet det tet
kib kip bik pik
mav maf vam fam
bog bok gob kob
gig gik gig kig
pid pit dip tip
toz tos zot sot
gar gal rag lag
feg fek gev kev
tin tim nit mit
leb lep ber per
nen nem nen men
keg kek gek kek
gob gop bog pog
lez les zer ser
bad bat dab tab
zag zak gas kas
zen zem nes mes
dib dip bid pid
mar mal ram lam
tov tof vot fot
len lem ner mer
ziz zis zis sis
noz nos zon son
mir mil rim lim
fen fem nev mev
lod lot dor tor
tid tit dit tit
par pal rap lap
dev def ved fed
kin kim nik mik
lan lam nar mar
pun pum nup mup
zuz zus zus sus
mur mul rum lum
bor bol rob lob
pin pim nip mip
bin bim nib mib
div dif vid fid
paz pas zap sap
kan kam nak mak
kig kik gik kik
dab dap bad pad
kev kef vek fek
tib tip bit pit
nud nut dun tun
tez tes zet set
ler lel rer ler
hun hum nuy muy
kiz kis zik sik
feb fep bev pev
bar bal rab lab
pez pes zep sep
fag fak gav kav
ker kel rek lek
teb tep bet pet
dez des zed sed
kab kap bak pak
fun fum nuv muv
tir til rit lit
zav zaf vas fas
tuz tus zut sut
bov bof vob fob
pav paf vap fap
fez fes zev sev
biv bif vib fib
dar dal rad lad
nuv nuf vun fun
fur ful ruv luv
zog zok gos kos
led let der ter
mag mak gam kam
gor gol rog log
zur zul rus lus
mib mip bim pim
lav laf var far
fon fom nov mov
ned net den ten
hoz hos zoy soy
taz tas zat sat
meg mek gem kem
lun lum nur mur
lon lom nor mor
kod kot dok tok
tor tol rot lot
gov gof vog fog
lin lim nir mir
mob mop bom pom
zeb zep bes pes
por pol rop lop
zir zil ris lis
hab hap bay pay
ben bem neb meb
kaz kas zak sak
tuv tuf vut fut
kad kat dak tak
poz pos zop sop
hob hop boy poy
mod mot dom tom
keb kep bek pek
duv duf vud fud
mer mel rem lem
kor kol rok lok
nez nes zen sen
dan dam nad mad
lad lat dar tar
fuz fus zuv suv
dag dak gad kad
fav faf vav fav
piv pif vip fip
bez bes zeb seb
tud tut dut tut
nin nim nin min
gub gup bug pug
zin zim nis mis
gun gum nug mug
der del red led
gad gat dag tag
muz mus zum sum
pud put dup tup
fid fit div tiv
moz mos zom som
